# id	left	top	right	bottom	texture_id
[SPRITES]

# HUD
230000	11	127	164	156	70

# CARD
231000	172	127	195	156	70

# TAG
232000	15	160	32	169	70

# POW
233000	99	161	115	168	70
233001	72	161	88	168	70

# ARROW
234000	90	161	99	168	70
234001	63	161	72	168	70

# NUM
235000	76	30	85	37	70
235001	87	30	94	37	70
235002	96	30	105	37	70
235003	106	30	115	37	70
235004	116	30	125	37	70
235005	126	30	135	37	70
235006	136	30	145	37	70
235007	146	30	155	37	70
235008	156	30	165	37	70
235009	166	30	175	37	70

# PANEL
236000	526	226	771	449	80
236001	258	0	513	186	80
236002	258	0	513	223	80
